longitude,latitude
50.450386085935094,30.524547100067142
50.45050063818424,30.52432932092009
50.45061519043338,30.524111541773035
50.450729742682526,30.52389376262598
50.45084429493167,30.523675983478928
50.450958847180814,30.523458204331874
50.45107339942996,30.52324042518482
50.4511879516791,30.523022646037766
50.45130250392825,30.522804866890713
50.45141705617739,30.52258708774366
50.45158184958234,30.52247389776916
50.451757508676074,30.522413170763514
50.45193316776981,30.522352443757867
50.452108826863544,30.52229171675222
50.45228448595728,30.522230989746575
50.45246014505101,30.52217026274093
50.45263580414475,30.522109535735282
50.45281146323848,30.522048808729636
50.45298712233222,30.52198808172399
50.45316278142595,30.521927354718343
50.45333844051969,30.521866627712697
50.4535017075372,30.521748100680377